0,Q ,0
1,W ,2
1,U ,2
1,S ,4
1,E ,3
1,D ,4
1,Q ,0
1,N ,5
2,S ,5
2,E ,1
2,Q ,0
3,Q ,0
3,W ,1
4,W ,5
4,U ,5
4,S ,7
4,E ,5
4,D ,7
4,Q ,0
4,N ,1
5,S ,5
5,E ,4
5,Q ,0
5,D ,4
5,N ,6
5,W ,5
6,S ,5
6,E ,4
6,Q ,0
6,D ,4
6,N ,1
6,W ,4
7,E ,5
7,N ,4
7,W ,5
7,S ,8
7,Q ,0
8,E ,5
8,N ,7
8,W ,5
8,S ,5
8,Q ,0
9,Q ,0
9,W ,10
10,W ,11
10,E ,9
10,Q ,0
11,E ,10
11,Q ,0
11,W ,12
11,U ,12
12,E ,11
12,D ,11
12,W ,13
12,U ,13
12,Q ,0
13,W ,14
13,E ,12
13,Q ,0
14,E ,13
14,D ,15
14,Q ,0
14,W ,16
15,U ,14
15,S ,18
15,Q ,0
15,D ,19
15,N ,19
15,W ,17
16,Q ,0
16,E ,14
17,Q ,0
17,E ,15
18,Q ,0
18,N ,15
19,U ,15
19,Q ,0
19,N ,32
19,E ,15
20,Q ,0
21,Q ,0
22,Q ,0
23,E ,67
23,D ,25
23,Q ,0
23,W ,68
24,Q ,0
24,U ,67
25,Q ,0
25,U ,23
26,Q ,0
27,N ,40
27,W ,41
27,Q ,0
28,D ,36
28,S ,19
28,Q ,0
28,N ,33
29,Q ,0
29,N ,19
30,E ,19
30,Q ,0
30,W ,62
30,U ,62
31,Q ,0
32,Q ,0
33,E ,34
33,S ,28
33,Q ,0
33,W ,35
34,U ,15
34,Q ,0
34,D ,33
35,Q ,0
35,E ,33
36,E ,37
36,Q ,0
36,W ,39
36,U ,28
37,W ,36
37,Q ,0
37,D ,38
38,Q ,0
38,U ,37
39,E ,36
39,Q ,0
39,D ,64
40,Q ,0
41,U ,42
41,S ,42
41,E ,27
41,Q ,0
41,N ,59
41,W ,60
42,U ,41
42,S ,45
42,E ,43
42,Q ,0
42,N ,42
42,W ,80
43,E ,45
43,S ,44
43,Q ,0
43,W ,42
44,E ,43
44,D ,48
44,S ,50
44,Q ,0
44,N ,82
45,W ,42
45,U ,87
45,S ,47
45,E ,46
45,D ,87
45,Q ,0
45,N ,43
46,Q ,0
46,W ,45
47,Q ,0
47,E ,45
48,Q ,0
48,U ,44
49,W ,51
49,E ,50
49,Q ,0
50,E ,44
50,D ,51
50,W ,49
50,S ,52
50,Q ,0
51,E ,52
51,W ,49
51,U ,50
51,S ,53
51,Q ,0
52,W ,50
52,U ,53
52,S ,52
52,E ,51
52,D ,86
52,Q ,0
52,N ,55
53,S ,54
53,Q ,0
53,W ,51
53,N ,52
54,Q ,0
54,W ,53
55,D ,56
55,N ,55
55,W ,52
55,Q ,0
55,E ,57
56,Q ,0
56,U ,55
57,S ,58
57,E ,84
57,Q ,0
57,D ,13
57,N ,83
57,W ,55
58,Q ,0
58,E ,57
59,Q ,0
60,U ,41
60,E ,41
60,Q ,0
60,D ,62
60,N ,62
60,W ,61
61,N ,62
61,E ,60
61,Q ,0
62,E ,30
62,N ,63
62,W ,60
62,S ,61
62,Q ,0
63,Q ,0
63,S ,62
64,E ,106
64,N ,103
64,W ,65
64,U ,39
64,Q ,0
65,U ,39
65,E ,64
65,Q ,0
65,D ,106
65,N ,71
65,W ,66
66,E ,96
66,Q ,0
66,W ,67
66,NE ,65
67,E ,66
67,D ,24
67,Q ,0
67,W ,23
68,U ,69
68,S ,23
68,Q ,0
68,N ,65
69,D ,68
69,S ,119
69,Q ,0
69,N ,109
70,D ,65
70,S ,111
70,Q ,0
70,N ,71
71,S ,70
71,SE ,65
71,Q ,0
71,N ,110
72,SW ,118
72,SE ,97
72,Q ,0
72,N ,73
73,Q ,0
73,S ,72
74,E ,19
74,D ,75
74,Q ,0
74,W ,121
75,N ,77
75,S ,76
75,Q ,0
76,Q ,0
76,N ,75
77,E ,75
77,Q ,0
77,W ,78
77,N ,66
78,Q ,0
78,S ,77
79,Q ,0
80,E ,81
80,N ,42
80,W ,80
80,S ,80
80,Q ,0
81,Q ,0
81,W ,80
82,Q ,0
82,S ,44
83,E ,84
83,S ,57
83,Q ,0
83,W ,85
84,NW ,114
84,Q ,0
84,W ,83
84,N ,57
85,Q ,0
85,E ,83
86,Q ,0
86,U ,52
87,U ,45
87,Q ,0
87,D ,45
88,E ,25
88,D ,25
88,Q ,0
88,W ,92
89,Q ,0
90,Q ,0
91,N ,95
91,Q ,0
91,D ,72
92,E ,93
92,S ,88
92,Q ,0
92,N ,94
93,Q ,0
93,S ,92
